,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
2735,tm409456,Manto,MOVIE,"In Bombay's seedy-shiny film world, Manto and his stories are widely read and accepted. But as sectarian violence engulfs the nation, Manto makes the difficult choice of leaving his beloved Bombay. In Lahore, he finds himself bereft of friends and unable to find takers for his writings.",2018,,112,['drama'],['IN'],,tt6923462,7.3,4222.0,4.908,7.7
2736,tm372662,The Skin of the Wolf,MOVIE,"Martinón is the last inhabitant of Auzal, a village in the mountains where he lives in communion with nature. He only goes down to the valleys twice a year to trade and to buy provisions. But one day he’s convinced to take a wife, a decision intended to soften his calloused soul—but in some ways his real struggle is only just beginning.",2018,,110,"['romance', 'thriller', 'action', 'drama', 'european']",['ES'],,tt6347150,5.8,3019.0,8.651,5.2
2737,tm428597,Being Napoleon,MOVIE,"As over 6,000 immaculately dressed military re-enactors, men and women, gather for the 200th anniversary of the epic Battle of Waterloo, some of them representing real individuals from the time, whether ‘humble foot-soldiers’, ‘officers’ or the great ‘Marshal Ney.’ who is unfortunately less adapt at horsemanship than the original, the real battle is taking place elsewhere: American Mark Schneider, considered the best Napoleon in the business, vs. Frenchman Frank Samson, uniform-maker extraordinaire, as to who will be Emperor on the day. There was only one Napoleon, there can be only one Napoleon, but the Belgians are in charge, unrest is growing in the ranks, there is an outstanding prison sentence to be served, an unpaid bill for parking to which the ‘Empress Josephine’ also has something to say, and as to who meets their Waterloo first, you’ll just have to watch.",2018,,88,['documentation'],['US'],,tt8841814,5.5,124.0,2.3890000000000002,6.0
2740,tm370440,Paradox,MOVIE,A loud poem. A whimsical western tale of music and love.,2018,,73,"['western', 'fantasy', 'music']",['US'],,tt7949046,3.9,711.0,4.603,3.3
2743,tm324806,Counterpunch,MOVIE,"As boxing's popularity wanes, three fighters at different stages of their career make sacrifices to pursue their dreams of becoming champions.",2017,,91,['documentation'],['US'],,tt7022034,6.7,903.0,15.712,6.7
2744,tm373873,Weed the People,MOVIE,"The uplifting and heart-wrenching struggles of families who treat their cancer-stricken children with marijuana, some with astonishing results.",2018,,98,['documentation'],['US'],,tt7968976,7.3,332.0,3.8489999999999998,8.0
2746,tm324588,Rory Scovel Tries Stand-Up for the First Time,MOVIE,"Comedian Rory Scovel storms the stage in Atlanta, where he shares unfocused thoughts about things that mystify him, relationships and the ""Thong Song.""",2017,,66,"['comedy', 'documentation']",['US'],,tt7044010,6.7,821.0,1.9169999999999998,7.4
2747,tm413418,Cycle,MOVIE,"Keshav, an astrologer, deeply values his cycle as it is his most prized possession. However, problems arise when a couple of thieves steal his bicycle.",2018,,96,"['drama', 'comedy', 'animation']",['IN'],,tt6627630,8.2,479.0,0.718,
2748,tm348919,How to Stage a Coup,MOVIE,A guide to human history through its most audacious power grabs. From Julius Caesar to Napoleon; from Mussolini to the strongmen of the present day - we see how the world we know has been shaped by those who dream big.,2017,,47,['documentation'],['GB'],,tt7149296,6.1,172.0,1.155,7.2
2749,tm445255,Qismat,MOVIE,"Shiva is just looking to sow some wild oats before settling down, until he falls in love with his beautiful neighbor.",2018,,140,"['romance', 'drama']",['IN'],,tt8665634,8.1,3037.0,1.758,7.3
2754,tm350116,B. A. Pass 2,MOVIE,"B. A. Pass 2 is the story of a young girl, who, in order to achieve her goals and to avoid marriage, makes a few wrong decisions and adopts ill habits that eventually ruin her life.",2017,,136,['drama'],['IN'],,tt8581230,2.2,475.0,2.9130000000000003,7.0
2756,tm447750,Aggretsuko: We Wish You A Metal Christmas,MOVIE,"While Retsuko desperately makes plans for Christmas Eve, her new obsession with seeking validation through social media spirals out of control.",2018,,22,"['animation', 'comedy']",['JP'],,,,,3.852,7.5
2759,tm279017,"Michael Bolton's Big, Sexy Valentine's Day Special",MOVIE,"After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.",2017,,54,"['comedy', 'music', 'romance']",['US'],,tt6343706,6.7,2102.0,6.6129999999999995,6.6
2760,tm558730,A Champion Heart,MOVIE,"A troubled girl finds faith, hope, and healing through a relationship with a wounded horse.",2018,G,90,['family'],['US'],,tt4738912,5.9,395.0,5.224,8.2
2761,tm344995,The Russian Revolution,MOVIE,Starting in 1881 this film shows the personal battle between Lenin's Ulyanov family and the royal Romanovs that eventually led to the Russian revolution.,2017,,47,"['documentation', 'history']",['GB'],,tt7094352,6.5,642.0,1.9809999999999999,6.5
2763,ts84644,Westside,SHOW,Nine struggling musicians share the spotlight in this deeply personal reality series about the challenges and thrills of staging a Hollywood showcase.,2018,TV-MA,47,['reality'],['US'],1.0,tt8693758,6.0,168.0,0.9570000000000001,4.0
2765,tm372969,Love per Square Foot,MOVIE,"Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience.",2018,,133,"['romance', 'comedy']",['IN'],,tt7853242,7.2,8187.0,6.683,6.7
2767,tm300440,The Mansion,MOVIE,"A band of students comes to celebrate the New Year in an old manor house isolated from everything. But soon after their arrival, strange events disrupt the atmosphere, before the party turns squarely to the nightmare ...",2017,PG-13,100,"['horror', 'comedy', 'european']",['FR'],,tt7029854,4.6,2592.0,11.605,4.9
2768,ts55484,My Only Love Song,SHOW,"Song Soo-Jung is an arrogant pop star who believes not only that status and money can get you anywhere, but that it defines your worth. She accidentally falls into a time-slip portal and travels back in time to the Joseon era where she meets On-Dal, a man who loves money yet is generous to those without.",2017,TV-MA,36,"['drama', 'comedy', 'fantasy', 'romance']",['KR'],1.0,tt6125832,7.0,647.0,12.755999999999998,8.4
