ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,RJ,3304904,33091528,municipal,fundamental,iniciais (1-5),89.0,0.88032103,195.22,186.11,5.0734429,4.5,5.8
2019,AM,1302504,13024370,municipal,fundamental,iniciais (1-5),97.2,0.97226799,193.61,187.64,5.070909,4.9,4.1
2019,MA,2101707,21267618,municipal,fundamental,iniciais (1-5),99.6,0.99552101,220.86,212.99,6.0516748,6.0,5.0
2019,PR,4106902,41372867,municipal,fundamental,iniciais (1-5),98.6,0.98083502,235.77,228.38,6.6160259,6.5,6.0
2019,RN,2408003,24002356,estadual,fundamental,iniciais (1-5),85.8,0.87920302,195.94,185.28,5.0724659,4.5,4.4
2019,MG,3170107,31159701,estadual,fundamental,iniciais (1-5),100.0,1.0,207.69,193.77,5.4506931,5.5,6.1
2019,BA,2927408,29194253,municipal,fundamental,iniciais (1-5),100.0,1.0,206.1,201.39,5.5590768,5.6,4.8
2019,MA,2103752,21093695,municipal,fundamental,iniciais (1-5),76.2,0.76757002,173.92,154.85,4.0987821,3.1,4.6
2019,RO,1100452,11045558,municipal,fundamental,iniciais (1-5),96.2,0.95473999,220.5,210.13,5.992795,5.7,4.8
2019,MT,5105606,51008041,estadual,fundamental,iniciais (1-5),99.2,0.990233,234.27,217.08,6.3819451,6.3,5.7
2019,BA,2914406,29063280,municipal,fundamental,iniciais (1-5),98.9,0.98962897,236.52,208.49,6.2687111,6.2,5.6
2019,PA,1504059,15524850,municipal,fundamental,iniciais (1-5),86.3,0.86072999,173.99,161.97,4.229382,3.6,
2019,MS,5002704,50006398,estadual,fundamental,iniciais (1-5),86.0,0.84331,198.63,183.41,5.0896201,4.3,5.5
2019,MA,2103257,21095620,municipal,fundamental,iniciais (1-5),98.3,0.98695302,192.85,192.83,5.1503959,5.1,4.1
2019,SP,3550308,35438054,estadual,fundamental,iniciais (1-5),99.6,0.99576497,225.71,210.58,6.1002231,6.1,5.9
2019,PE,2613008,26061392,municipal,fundamental,iniciais (1-5),97.8,0.97707403,218.13,192.44,5.6259389,5.5,5.6
2019,RJ,3303708,33017166,municipal,fundamental,iniciais (1-5),99.0,0.99216199,252.86,219.97,6.7892709,6.7,6.1
2019,RJ,3306008,33155143,municipal,fundamental,iniciais (1-5),90.5,0.90335703,234.11,210.85,6.2654371,5.7,5.3
2019,RS,4313409,43092799,municipal,fundamental,iniciais (1-5),94.1,0.94164097,232.72,219.16,6.390192,6.0,6.3
2019,BA,2910727,29318610,municipal,fundamental,iniciais (1-5),85.2,0.85676301,220.86,203.86,5.8858562,5.0,4.9
2019,RS,4318309,43136320,municipal,fundamental,iniciais (1-5),94.7,0.93801701,187.38,194.52,5.0769248,4.8,4.5
2019,PR,4115200,41389557,municipal,fundamental,iniciais (1-5),96.5,0.96546602,253.17,221.19,6.8175502,6.6,6.5
2019,MG,3138203,31203068,municipal,fundamental,iniciais (1-5),97.4,0.97659701,192.33,167.66,4.6830268,4.6,5.3
2019,AL,2704302,27037860,municipal,fundamental,iniciais (1-5),84.8,0.84771901,207.72,197.44,5.5183659,4.7,5.3
2019,MA,2103174,21067074,municipal,fundamental,iniciais (1-5),95.6,0.94704002,185.0,161.13,4.4244142,4.2,5.2
2019,SP,3549904,35042336,estadual,fundamental,iniciais (1-5),99.4,0.99109399,247.66,234.25,6.949852,6.9,6.2
2019,RJ,3301876,33162875,municipal,fundamental,iniciais (1-5),86.5,0.87763602,220.72,213.08,6.0506392,5.3,5.2
2019,MG,3149150,31294489,municipal,fundamental,iniciais (1-5),100.0,1.0,208.07,194.32,5.4679451,5.5,5.3
2019,CE,2305209,23031140,municipal,fundamental,iniciais (1-5),98.8,0.988931,260.16,228.66,7.086575,7.0,5.0
2019,BA,2904852,29162521,municipal,fundamental,iniciais (1-5),81.0,0.791004,168.94,161.27,4.120471,3.3,4.9
2019,RO,1100205,11001143,estadual,fundamental,iniciais (1-5),83.8,0.83926302,200.44,191.72,5.2752442,4.4,5.5
2019,PB,2504009,25074733,municipal,fundamental,iniciais (1-5),90.2,0.88434899,220.58,202.47,5.8550491,5.2,5.3
2019,BA,2905909,29018978,municipal,fundamental,iniciais (1-5),84.0,0.75292403,155.89,140.13,3.487062,2.6,4.0
2019,PE,2614105,26029995,municipal,fundamental,iniciais (1-5),94.0,0.95172399,217.97,187.14,5.5265131,5.3,4.3
2019,PE,2613206,26080737,municipal,fundamental,iniciais (1-5),98.4,0.98528701,197.05,176.35,4.9311032,4.9,4.2
2019,RJ,3304557,33069409,municipal,fundamental,iniciais (1-5),90.4,0.91200203,221.86,207.67,5.9742131,5.4,6.4
2019,AM,1300029,13069950,municipal,fundamental,iniciais (1-5),82.6,0.748281,174.72,155.44,4.1245861,3.1,3.4
2019,PR,4127106,41056213,municipal,fundamental,iniciais (1-5),97.9,0.97905499,229.8,229.05,6.5140939,6.4,6.1
2019,RS,4300109,43010741,estadual,fundamental,iniciais (1-5),96.5,0.96508199,259.76,253.91,7.5380321,7.3,7.1
